00001 A00     0 Cholera                                                      Cholera
95297 Z9710   1 Presence of artificial limb (complete) (partial), unsp       Presence of artificial limb (complete) (partial), unspecified
95298 Z9711   1 Presence of artificial right arm (complete) (partial)        Presence of artificial right arm (complete) (partial)
95299 Z9712   1 Presence of artificial left arm (complete) (partial)         Presence of artificial left arm (complete) (partial)
95300 Z9713   1 Presence of artificial right leg (complete) (partial)        Presence of artificial right leg (complete) (partial)
95301 Z9714   1 Presence of artificial left leg (complete) (partial)         Presence of artificial left leg (complete) (partial)
95302 Z9715   1 Presence of artificial arms, bilateral (complete) (partial)  Presence of artificial arms, bilateral (complete) (partial)
95303 Z9716   1 Presence of artificial legs, bilateral (complete) (partial)  Presence of artificial legs, bilateral (complete) (partial)
95304 Z972    1 Presence of dental prosthetic device (complete) (partial)    Presence of dental prosthetic device (complete) (partial)
95305 Z973    1 Presence of spectacles and contact lenses                    Presence of spectacles and contact lenses
95306 Z974    1 Presence of external hearing-aid                             Presence of external hearing-aid
95307 Z975    1 Presence of (intrauterine) contraceptive device              Presence of (intrauterine) contraceptive device
95308 Z978    1 Presence of other specified devices                          Presence of other specified devices
95309 Z98     0 Other postprocedural states                                  Other postprocedural states
95310 Z980    1 Intestinal bypass and anastomosis status                     Intestinal bypass and anastomosis status
95311 Z981    1 Arthrodesis status                                           Arthrodesis status
95312 Z982    1 Presence of cerebrospinal fluid drainage device              Presence of cerebrospinal fluid drainage device
95313 Z983    1 Post therapeutic collapse of lung status                     Post therapeutic collapse of lung status
95314 Z984    0 Cataract extraction status                                   Cataract extraction status
95315 Z9841   1 Cataract extraction status, right eye                        Cataract extraction status, right eye
95316 Z9842   1 Cataract extraction status, left eye                         Cataract extraction status, left eye
95317 Z9849   1 Cataract extraction status, unspecified eye                  Cataract extraction status, unspecified eye
95318 Z985    0 Sterilization status                                         Sterilization status
95319 Z9851   1 Tubal ligation status                                        Tubal ligation status
95320 Z9852   1 Vasectomy status                                             Vasectomy status
95321 Z986    0 Angioplasty status                                           Angioplasty status
95322 Z9861   1 Coronary angioplasty status                                  Coronary angioplasty status
